time,HD__1_63_61,HD__1_48_76,HD__1_41_82,HD__1_86_51,HD__1_38_35,HD__1_118_33,HD__1_111_87,HD__1_40_14,HD__1_27_108,HD__1_7_52,HD__1_14_9,HD__2_63_61
1.000000000000,37.21788745,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253842,37.55068499,37.15886372,37.18738842,37.39873214,37.21906212
1.948280537101,37.21525083,37.20658395,37.19057313,37.23611899,37.28797047,37.53503278,37.23253842,37.55068499,37.15886372,37.18738843,37.39873214,37.21905635
3.275873289043,37.20817194,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253841,37.55068499,37.15886372,37.18738843,37.39873214,37.21903432
5.134503141762,37.19464530,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253840,37.55068499,37.15886372,37.18738843,37.39873214,37.21898049
7.736584935567,37.17301079,37.20658395,37.19057313,37.23611897,37.28797047,37.53503278,37.23253839,37.55068499,37.15886373,37.18738844,37.39873214,37.21887476
11.37949944690,37.14258349,37.20658395,37.19057313,37.23611895,37.28797047,37.53503278,37.23253837,37.55068499,37.15886373,37.18738845,37.39873214,37.21869257
16.47957976276,37.10398192,37.20658394,37.19057313,37.23611893,37.28797047,37.53503278,37.23253835,37.55068499,37.15886374,37.18738846,37.39873214,37.21840382
23.61969220496,37.05888001,37.20658393,37.19057313,37.23611891,37.28797047,37.53503278,37.23253832,37.55068499,37.15886376,37.18738847,37.39873214,37.21796942
33.61584962404,37.00931802,37.20658392,37.19057313,37.23611887,37.28797047,37.53503278,37.23253827,37.55068499,37.15886377,37.18738849,37.39873214,37.21733792
47.61047001076,36.95705182,37.20658390,37.19057313,37.23611882,37.28797047,37.53503278,37.23253821,37.55068499,37.15886380,37.18738851,37.39873214,37.21643614
67.20293855217,36.90325943,37.20658388,37.19057313,37.23611876,37.28797047,37.53503278,37.23253812,37.55068499,37.15886383,37.18738853,37.39873214,37.21517162
94.63239451014,36.84859774,37.20658384,37.19057313,37.23611869,37.28797047,37.53503278,37.23253799,37.55068499,37.15886387,37.18738854,37.39873214,37.21337955
133.0336328513,36.79339581,37.20658373,37.19057313,37.23611861,37.28797048,37.53503278,37.23253781,37.55068499,37.15886393,37.18738855,37.39873214,37.21088929
186.7953665289,36.73781357,37.20658298,37.19057313,37.23611852,37.28797048,37.53503278,37.23253757,37.55068499,37.15886400,37.18738855,37.39873214,37.20745275
262.0617936776,36.68193454,37.20657646,37.19057313,37.23611842,37.28797048,37.53503278,37.23253723,37.55068499,37.15886410,37.18738851,37.39873214,37.20274899
367.4347916857,36.62580841,37.20653350,37.19057312,37.23611831,37.28797049,37.53503277,37.23253677,37.55068499,37.15886423,37.18738842,37.39873213,37.19637914
514.9569888971,36.56946094,37.20632908,37.19057310,37.23611804,37.28797050,37.53503277,37.23253614,37.55068499,37.15886440,37.18738825,37.39873213,37.18786569
721.4880649930,36.51291862,37.20560268,37.19057300,37.23611643,37.28797051,37.53503276,37.23253527,37.55068499,37.15886461,37.18738798,37.39873213,37.17666070
1010.631571527,36.45619052,37.20359782,37.19057206,37.23610537,37.28797052,37.53503275,37.23253409,37.55068499,37.15886485,37.18738756,37.39873212,37.16218644
1415.432480675,36.39930232,37.19912790,37.19056417,37.23604435,37.28797054,37.53503274,37.23253250,37.55068498,37.15886510,37.18738693,37.39873211,37.14393605
1982.153753483,36.34223602,37.19078507,37.19051520,37.23578583,37.28797056,37.53503273,37.23253038,37.55068498,37.15886531,37.18738602,37.39873210,37.12150962
2775.563535413,36.28504087,37.17730322,37.19029127,37.23493360,37.28797049,37.53503272,37.23252756,37.55068497,37.15886541,37.18738475,37.39873209,37.09480220
3886.337230115,36.22768519,37.15791367,37.18951688,37.23269190,37.28797005,37.53503270,37.23252383,37.55068497,37.15886529,37.18738305,37.39873207,37.06387850
5441.420402698,36.17020521,37.13242864,37.18741878,37.22784745,37.28796839,37.53503270,37.23251888,37.55068495,37.15886476,37.18738083,37.39873204,37.02903994
7618.536844314,36.11243891,37.10120635,37.18280311,37.21897251,37.28796324,37.53503270,37.23251227,37.55068493,37.15886343,37.18737804,37.39873200,36.99058330
10666.49986258,36.05427988,37.06483422,37.17426400,37.20475147,37.28794945,37.53503273,37.23250330,37.55068488,37.15885954,37.18737458,37.39873194,36.94883559
14933.64808815,35.99517969,37.02394722,37.16054583,37.18422596,37.28791616,37.53503277,37.23249023,37.55068476,37.15884581,37.18736980,37.39873184,36.90379136
20907.65560394,35.93428993,36.97883404,37.14086303,37.15680273,37.28784170,37.53503280,37.23246634,37.55068453,37.15879551,37.18736028,37.39873170,36.85513246
29271.26612605,35.87098705,36.92974467,37.11505360,37.12213495,37.28768317,37.53503268,37.23240701,37.55068404,37.15863558,37.18733178,37.39873146,36.80278170
40980.32085701,35.80463075,36.87687809,37.08367372,37.08003571,37.28735121,37.53503196,37.23222833,37.55068307,37.15818259,37.18724132,37.39873107,36.74633483
57372.99748035,35.73490049,36.82074616,37.04794694,37.03041544,37.28663913,37.53502958,37.23174350,37.55068118,37.15719356,37.18699206,37.39873040,36.68598316
80322.74475303,35.66236405,36.76247385,37.00957761,36.97363360,37.28504082,37.53502292,37.23059742,37.55067755,37.15530897,37.18641222,37.39872923,36.62231792
112452.3909348,35.58853385,36.70376424,36.97045571,36.91103534,37.28141648,37.53500600,37.22825212,37.55067058,37.15208466,37.18524586,37.39872715,36.55705391
157433.8955892,35.51562647,36.64649718,36.93204120,36.84483872,37.27366063,37.53496531,37.22403559,37.55065725,37.14702848,37.18318015,37.39872333,36.49181612
220408.0021055,35.44582929,36.59226438,36.89528976,36.77804209,37.25881904,37.53487020,37.21731478,37.55063162,37.13966936,37.17988552,37.39871612,36.42881842
308571.7512282,35.38086125,36.54199047,36.86047972,36.71352641,37.23397938,37.53465098,37.20773046,37.55058177,37.12970011,37.17510814,37.39870210,36.36969916
432001.0000000,35.32155478,36.49591678,36.82759955,36.65325705,37.19757107,37.53414880,37.19547973,37.55047999,37.11719042,37.16870174,37.39867384,36.31519416
