time,HD__1_63_61,HD__1_48_76,HD__1_41_82,HD__1_86_51,HD__1_38_35,HD__1_118_33,HD__1_111_87,HD__1_40_14,HD__1_27_108,HD__1_7_52,HD__1_14_9,HD__2_63_61
1.000000000000,37.21788745,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253842,37.55068499,37.15886372,37.18738842,37.39873214,37.21906212
1.948280537101,37.21288763,37.20658395,37.19057313,37.23611899,37.28797047,37.53503278,37.23253842,37.55068499,37.15886372,37.18738843,37.39873214,37.21904201
3.275873289043,37.20047647,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253841,37.55068499,37.15886372,37.18738843,37.39873214,37.21897869
5.134503141762,37.17877400,37.20658395,37.19057313,37.23611897,37.28797047,37.53503278,37.23253840,37.55068499,37.15886373,37.18738844,37.39873214,37.21884697
7.736584935567,37.14719242,37.20658395,37.19057313,37.23611895,37.28797047,37.53503278,37.23253838,37.55068499,37.15886373,37.18738845,37.39873214,37.21861854
11.37949944690,37.10673664,37.20658394,37.19057313,37.23611893,37.28797047,37.53503278,37.23253835,37.55068499,37.15886374,37.18738846,37.39873214,37.21825932
16.47957976276,37.05956834,37.20658393,37.19057313,37.23611891,37.28797047,37.53503278,37.23253832,37.55068499,37.15886376,37.18738847,37.39873214,37.21772354
23.61969220496,37.00810777,37.20658392,37.19057313,37.23611887,37.28797047,37.53503278,37.23253827,37.55068499,37.15886377,37.18738849,37.39873214,37.21694779
33.61584962404,36.95429100,37.20658390,37.19057313,37.23611882,37.28797047,37.53503278,37.23253821,37.55068499,37.15886380,37.18738851,37.39873214,37.21584128
47.61047001076,36.89931524,37.20658387,37.19057313,37.23611876,37.28797048,37.53503278,37.23253812,37.55068499,37.15886383,37.18738853,37.39873214,37.21428718
67.20293855217,36.84377933,37.20658383,37.19057313,37.23611869,37.28797048,37.53503278,37.23253799,37.55068499,37.15886387,37.18738854,37.39873214,37.21212525
94.63239451014,36.78793922,37.20658370,37.19057313,37.23611860,37.28797048,37.53503278,37.23253781,37.55068499,37.15886393,37.18738855,37.39873214,37.20913861
133.0336328513,36.73189169,37.20658269,37.19057313,37.23611851,37.28797049,37.53503277,37.23253756,37.55068499,37.15886401,37.18738854,37.39873214,37.20504826
186.7953665289,36.67567229,37.20657426,37.19057312,37.23611840,37.28797050,37.53503277,37.23253722,37.55068499,37.15886411,37.18738850,37.39873214,37.19951048
262.0617936776,36.61929506,37.20652109,37.19057312,37.23611826,37.28797051,37.53503276,37.23253675,37.55068499,37.15886424,37.18738840,37.39873214,37.19211057
367.4347916857,36.56275883,37.20627754,37.19057308,37.23611786,37.28797052,37.53503275,37.23253610,37.55068499,37.15886441,37.18738823,37.39873213,37.18239745
514.9569888971,36.50607237,37.20544064,37.19057288,37.23611552,37.28797055,37.53503274,37.23253522,37.55068499,37.15886462,37.18738794,37.39873213,37.16986872
721.4880649930,36.44922771,37.20319604,37.19057134,37.23610087,37.28797058,37.53503273,37.23253402,37.55068499,37.15886486,37.18738750,37.39873213,37.15405757
1010.631571527,36.39224466,37.19830960,37.19056028,37.23602493,37.28797059,37.53503272,37.23253241,37.55068498,37.15886511,37.18738683,37.39873212,37.13462938
