iteration,success,sy_clean_gravel,sy_clayey_sand,sy_loamy_sand,sy_sandy_gravel,sy_sandstone,sy_limestone,ss_clean_gravel,ss_clayey_sand,ss_loamy_sand,ss_sandy_gravel,ss_sandstone,ss_limestone,P1_RMSE,P1_R2,Pz12_RMSE,Pz12_R2,Overall_RMSE,Overall_R2
25,True,0.617,0.317,0.707,0.383,0.001,0.001,0.000619,1.7e-05,0.000191,6.83e-06,0.000633,1.78e-05,0.30570713252538706,0.33518894488163475,0.04112037532215112,0.9224942546400865,0.1734137539237691,0.6288415997608606
26,True,0.732,0.527,0.948,0.129,0.001,0.001,7.09e-07,0.000128,4.16e-06,0.000685,1.71e-05,0.00037,0.1609177902346408,0.815797631571224,0.0818421644208581,0.6929748375345715,0.12137997732774945,0.7543862345528978
27,True,0.812,0.48,0.575,0.278,0.001,0.001,1.07e-07,6.39e-07,1.28e-07,0.000219,9.1e-05,0.000429,0.2598033113892836,0.519850529656763,0.03582313981799547,0.941177015782615,0.14781322560363952,0.7305137727196891
28,True,0.8,0.459,0.0174,0.342,0.001,0.001,1.39e-05,9.11e-05,4.55e-05,0.000386,0.000435,1.28e-05,0.29141456893729895,0.3958989232416549,0.03614519565256621,0.9401146052028237,0.16377988229493257,0.6680067642222394
29,True,0.87,0.534,0.639,0.332,0.001,0.001,4e-06,2.25e-05,1.5e-05,8.81e-06,2.49e-05,7.18e-06,0.2844129163346245,0.42457898216440415,0.02734126300180754,0.965734513510286,0.15587708966821603,0.695156747837345
30,True,0.932,0.169,0.959,0.356,0.001,0.001,8.71e-05,2.09e-06,8.8e-06,0.000345,9.49e-07,0.000826,0.2963859094893856,0.3751119843354159,0.02952488865964517,0.96004268528674,0.1629553990745154,0.667577334811078
31,True,0.695,0.807,0.0493,0.375,0.001,0.001,2.79e-05,6.77e-05,0.000298,4.63e-07,1.2e-05,3.7e-05,0.30279362758580913,0.3478003644244272,0.02195326657297723,0.9779088635020448,0.1623734470793932,0.662854613963236
32,True,0.546,0.487,0.443,0.288,0.001,0.001,1.8e-07,3.71e-06,0.000863,3.61e-05,0.000492,2.95e-07,0.26377952815817135,0.5050409563308162,0.039298378914056305,0.9292104700186051,0.15153895353611382,0.7171257131747106
33,True,0.415,0.391,0.165,0.143,0.001,0.001,1.9e-05,1.33e-05,6.78e-07,6.11e-07,7.08e-05,1.99e-07,0.16514782065751402,0.8059861277303425,0.08268849364997413,0.6865921154918326,0.12391815715374407,0.7462891216110876
34,True,0.432,0.673,0.397,0.0151,0.001,0.001,0.000571,1.91e-06,2.84e-05,2.36e-07,0.000557,3.49e-05,0.18977463495913233,0.7438092652850365,0.15519835184218939,-0.10406328255298014,0.17248649340066086,0.3198729913660282
35,True,0.145,0.546,0.343,0.223,0.001,0.001,1.24e-06,4.23e-07,7.08e-05,3.65e-05,6.09e-06,0.000236,0.22623808675418083,0.6359018028085295,0.04956477395279,0.887392837048703,0.13790143035348543,0.7616473199286162
36,True,0.0705,0.402,0.61,0.184,0.001,0.001,0.000466,2.33e-05,3.37e-06,0.000253,1.58e-05,0.0001,0.2016482808821056,0.7107481552120913,0.06537033308722606,0.8041240332596048,0.13350930698466584,0.757436094235848
37,True,0.687,0.62,0.771,0.00329,0.001,0.001,0.000199,3.83e-07,0.000606,0.000175,0.000179,0.000356,0.29549886790428914,0.3788467919934507,0.21844159170602667,-1.1872096937955812,0.25697022980515793,-0.4041814509010652
38,True,0.0979,0.841,0.993,0.0193,0.001,0.001,2.63e-05,4.98e-07,4.84e-05,2.07e-05,2.93e-07,0.000136,0.16578356931290011,0.8044895113180635,0.21271388326949628,-1.0740127855717558,0.1892487262911982,-0.1347616371268462
39,True,0.712,0.353,0.933,0.152,0.001,0.001,1.05e-05,1.9e-06,8.76e-07,0.000917,2.5e-06,1.55e-05,0.18451493371971703,0.7578133874134614,0.07524565462178419,0.740472963973487,0.12988029417075062,0.7491431756934742
40,True,0.255,0.465,0.506,0.234,0.001,0.001,8.73e-06,0.000568,2.31e-06,1.64e-05,9.37e-06,2.21e-06,0.2329497365660625,0.6139784616914046,0.0478466447374513,0.8950644281780932,0.1403981906517569,0.7545214449347488
41,True,0.399,0.836,0.554,0.26,0.001,0.001,5.82e-06,3.21e-05,1.19e-05,0.000233,3.93e-05,0.000281,0.25044301252750534,0.5538253125110225,0.0344758546800334,0.9455184016635731,0.14245943360376936,0.7496718570872978
42,True,0.563,0.374,0.67,0.118,0.001,0.001,2.96e-07,7.08e-07,1.05e-05,2.62e-07,0.000293,5.61e-05,0.141759603619921,0.8570473962136167,0.08856889544060624,0.640431023175861,0.11516424953026361,0.7487392096947388
43,True,0.174,0.55,0.354,0.0516,0.001,0.001,6.48e-07,0.000179,1.43e-05,5.08e-05,3.91e-07,4.9e-07,0.09241441698990434,0.9392471654225524,0.1573375060663,-0.13470842933082827,0.12487596152810218,0.40226936804586205
44,True,0.792,0.941,0.333,0.155,0.001,0.001,3.14e-05,0.000231,0.000345,0.000101,0.000107,0.000226,0.17587609978612043,0.7799604530384987,0.0629284347767448,0.8184845417193269,0.1194022672814326,0.7992224973789128
45,True,0.296,0.855,0.924,0.0306,0.001,0.001,6.58e-05,2.79e-06,0.000127,5.59e-07,6.43e-05,0.00064,0.11399032111327022,0.907567852354321,0.16720971754498476,-0.28157133130628087,0.1406000193291275,0.3129982605240201
46,True,0.368,0.228,0.829,0.178,0.001,0.001,4.9e-05,4.31e-05,4.31e-05,8.25e-07,6.17e-07,6.7e-07,0.19466957723587147,0.7304227360272835,0.07480584687064198,0.7434979472764494,0.13473771205325674,0.7369603416518664
47,True,0.623,0.233,0.368,0.102,0.001,0.001,2e-07,5.91e-05,1.85e-06,2.19e-07,7.54e-06,2.7e-06,0.12920180583411112,0.8812525595684698,0.11827331231333593,0.3588003501884255,0.12373755907372352,0.6200264548784477
48,True,0.741,0.137,0.8,0.351,0.001,0.001,0.000949,2.85e-07,1.11e-07,0.00046,1.25e-05,3.05e-07,0.2949403070614237,0.38119281756338896,0.03138648681197081,0.954845070335111,0.16316339693669726,0.66801894394925
49,True,0.898,0.187,0.0656,0.116,0.001,0.001,3.77e-05,1.38e-06,7.87e-05,2.07e-06,1.31e-07,1.33e-07,0.1428227429466525,0.8548951833176339,0.11070429899513909,0.4382426936896294,0.1267635209708958,0.6465689385036317
50,True,0.524,0.45,0.0929,0.0663,0.001,0.001,3.28e-07,4.39e-07,4.96e-06,1.89e-07,0.000332,1.42e-06,0.09331033705372882,0.9380635076773808,0.11889722095874053,0.35201766764388787,0.10610377900623467,0.6450405876606343
51,True,0.155,0.0955,0.678,0.27,0.001,0.001,0.000268,0.000192,6.15e-07,0.000695,1.13e-07,1.06e-05,0.25891051553154465,0.5231448595046513,0.04690165573753045,0.8991685282235509,0.15290608563453756,0.7111566938641011
52,True,0.769,0.685,0.0231,0.0067,0.001,0.001,9.56e-07,2.69e-05,1.22e-06,2.32e-05,0.000151,0.000187,0.27627650911125745,0.4570310318232268,0.2174940467896486,-1.168275712753719,0.246885277950453,-0.35562234046524616
53,True,0.0087,0.976,0.475,0.294,0.001,0.001,2.1e-06,0.000603,2.24e-06,0.000141,1.73e-06,6.3e-06,0.26774739803781683,0.49003824401889096,0.02753331750533901,0.9652514375054114,0.1476403577715779,0.7276448407621512
54,True,0.575,0.299,0.301,0.0349,0.001,0.001,4.16e-05,1.12e-06,1.83e-07,1.63e-06,2.17e-06,0.000331,0.12949256211091123,0.8807174987340348,0.1960857762259566,-0.7624302593038528,0.16278916916843392,0.05914361971509102
55,True,0.0586,0.662,0.313,0.376,0.001,0.001,6.05e-07,7.02e-05,9.56e-05,3.85e-07,8.13e-07,5.75e-07,0.3030049660601284,0.3468896254581366,0.0228132551323284,0.9761441842377823,0.1629091105962284,0.6615169048479594
56,True,0.0247,0.43,0.453,0.304,0.001,0.001,2e-05,3.45e-06,6.72e-06,3.05e-05,1.87e-06,1.53e-06,0.2713329368910683,0.47628848735853846,0.032955951770582886,0.9502162652061783,0.15214444433082558,0.7132523762823584
57,True,0.975,0.0766,0.152,0.0966,0.001,0.001,1.13e-05,5.63e-06,1.8e-05,2.17e-05,2.73e-06,0.00058,0.13117657980818512,0.8775948483466469,0.13367111221436417,0.18097929595082674,0.13242384601127466,0.5292870721487368
58,True,0.836,0.387,0.599,0.0219,0.001,0.001,1.12e-07,8.67e-06,0.000105,7.22e-05,0.000843,0.000964,0.15192074683921636,0.8358196174762589,0.13815783642815901,0.1250750443224249,0.14503929163368767,0.4804473308993419
59,True,0.0118,0.309,0.127,0.254,0.001,0.001,2.96e-06,4.42e-06,3.71e-06,1.53e-07,4.38e-06,9.96e-07,0.24464058863040253,0.5742603333117409,0.04687397235848702,0.8992875232577149,0.14575728049444478,0.7367739282847279
60,True,0.375,0.987,0.861,0.367,0.001,0.001,0.00018,0.000466,2.35e-05,1.77e-05,1e-06,1.65e-05,0.2998419835122732,0.3604537245275624,0.02059009081807345,0.9805671597025115,0.16021603716517333,0.670510442115037
61,True,0.701,0.417,0.581,0.283,0.001,0.001,0.000714,9.39e-06,3.79e-05,6.65e-05,1.83e-07,5.84e-07,0.2610545679871282,0.5152144305787062,0.03623847845707633,0.939805104260742,0.14864652322210228,0.7275097674197242
62,True,0.457,0.278,0.49,0.267,0.001,0.001,1.04e-06,0.000167,2.11e-07,1.11e-06,3.32e-07,4.86e-06,0.251878130176336,0.5486972176166702,0.04323753249513622,0.91430774726139,0.1475578313357361,0.7315024824390302
63,True,0.676,0.998,0.9,0.0687,0.001,0.001,4.62e-07,3.54e-07,1.05e-06,4.13e-06,2.05e-05,2.22e-07,0.08445576997020253,0.9492605516575484,0.12174515160253106,0.32060381034377083,0.1031004607863668,0.6349321810006596
