time,HD__1_63_61,HD__1_48_76,HD__1_41_82,HD__1_86_51,HD__1_38_35,HD__1_118_33,HD__1_111_87,HD__1_40_14,HD__1_27_108,HD__1_7_52,HD__1_14_9,HD__2_63_61
1.000000000000,37.21788745,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253842,37.55068499,37.15886372,37.18738842,37.39873214,37.21906212
1.948280537101,37.21748353,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253842,37.55068499,37.15886372,37.18738842,37.39873214,37.21905304
3.275873289043,37.21624452,37.20658395,37.19057313,37.23611899,37.28797047,37.53503278,37.23253841,37.55068499,37.15886372,37.18738843,37.39873214,37.21902810
5.134503141762,37.21345668,37.20658395,37.19057313,37.23611899,37.28797047,37.53503278,37.23253839,37.55068499,37.15886373,37.18738843,37.39873214,37.21897977
7.736584935567,37.20805129,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253838,37.55068499,37.15886373,37.18738843,37.39873214,37.21889840
11.37949944690,37.19861789,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253835,37.55068499,37.15886374,37.18738843,37.39873214,37.21875964
16.47957976276,37.18358799,37.20658395,37.19057313,37.23611897,37.28797047,37.53503278,37.23253832,37.55068499,37.15886376,37.18738844,37.39873214,37.21854866
23.61969220496,37.16161991,37.20658395,37.19057313,37.23611896,37.28797047,37.53503278,37.23253827,37.55068499,37.15886377,37.18738844,37.39873214,37.21824053
33.61584962404,37.13206717,37.20658394,37.19057313,37.23611895,37.28797047,37.53503278,37.23253820,37.55068499,37.15886380,37.18738845,37.39873214,37.21780898
47.61047001076,37.09526326,37.20658394,37.19057313,37.23611893,37.28797047,37.53503278,37.23253811,37.55068499,37.15886383,37.18738846,37.39873214,37.21712339
67.20293855217,37.05240480,37.20658393,37.19057313,37.23611890,37.28797047,37.53503278,37.23253798,37.55068499,37.15886388,37.18738847,37.39873214,37.21616782
94.63239451014,37.00508064,37.20658392,37.19057313,37.23611887,37.28797048,37.53503278,37.23253779,37.55068499,37.15886394,37.18738849,37.39873214,37.21487059
133.0336328513,36.95475810,37.20658389,37.19057313,37.23611882,37.28797048,37.53503278,37.23253754,37.55068499,37.15886401,37.18738851,37.39873214,37.21308560
186.7953665289,36.90251659,37.20658384,37.19057313,37.23611876,37.28797048,37.53503277,37.23253719,37.55068499,37.15886412,37.18738852,37.39873214,37.21067389
