time,HD__1_63_61,HD__1_48_76,HD__1_41_82,HD__1_86_51,HD__1_38_35,HD__1_118_33,HD__1_111_87,HD__1_40_14,HD__1_27_108,HD__1_7_52,HD__1_14_9,HD__2_63_61
1.000000000000,37.21788745,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253842,37.55068499,37.15886372,37.18738842,37.39873214,37.21906212
1.948280537101,37.21764047,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253841,37.55068499,37.15886372,37.18738842,37.39873214,37.21906100
3.275873289043,37.21686798,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253840,37.55068499,37.15886372,37.18738842,37.39873214,37.21905645
5.134503141762,37.21508514,37.20658395,37.19057313,37.23611899,37.28797047,37.53503278,37.23253839,37.55068499,37.15886373,37.18738843,37.39873214,37.21904435
7.736584935567,37.21151500,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253836,37.55068499,37.15886374,37.18738843,37.39873214,37.21901827
11.37949944690,37.20503193,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253833,37.55068499,37.15886375,37.18738843,37.39873214,37.21896891
16.47957976276,37.19420604,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253828,37.55068499,37.15886377,37.18738843,37.39873214,37.21888295
23.61969220496,37.17752567,37.20658395,37.19057313,37.23611897,37.28797047,37.53503278,37.23253822,37.55068499,37.15886379,37.18738844,37.39873214,37.21874256
33.61584962404,37.15380236,37.20658395,37.19057313,37.23611896,37.28797047,37.53503278,37.23253813,37.55068499,37.15886382,37.18738844,37.39873214,37.21852387
47.61047001076,37.12260709,37.20658394,37.19057313,37.23611894,37.28797047,37.53503278,37.23253800,37.55068499,37.15886387,37.18738845,37.39873214,37.21819629
67.20293855217,37.08447069,37.20658394,37.19057313,37.23611892,37.28797047,37.53503278,37.23253783,37.55068499,37.15886392,37.18738846,37.39873214,37.21772214
94.63239451014,37.04068081,37.20658393,37.19057313,37.23611889,37.28797047,37.53503278,37.23253759,37.55068499,37.15886400,37.18738848,37.39873214,37.21703912
133.0336328513,36.99278744,37.20658392,37.19057313,37.23611886,37.28797048,37.53503278,37.23253726,37.55068499,37.15886410,37.18738849,37.39873214,37.21604469
186.7953665289,36.94215464,37.20658390,37.19057313,37.23611881,37.28797048,37.53503278,37.23253680,37.55068499,37.15886423,37.18738851,37.39873214,37.21465572
262.0617936776,36.88975075,37.20658387,37.19057313,37.23611875,37.28797048,37.53503278,37.23253616,37.55068499,37.15886440,37.18738853,37.39873214,37.21272537
367.4347916857,36.83617624,37.20658381,37.19057313,37.23611867,37.28797049,37.53503277,37.23253530,37.55068499,37.15886461,37.18738855,37.39873213,37.21008282
514.9569888971,36.78178617,37.20658363,37.19057313,37.23611859,37.28797050,37.53503277,37.23253410,37.55068499,37.15886486,37.18738855,37.39873213,37.20646767
721.4880649930,36.72679418,37.20658240,37.19057313,37.23611849,37.28797051,37.53503276,37.23253248,37.55068498,37.15886513,37.18738854,37.39873212,37.20160629
1010.631571527,36.67133568,37.20657264,37.19057312,37.23611836,37.28797052,37.53503275,37.23253027,37.55068498,37.15886537,37.18738849,37.39873211,37.19514698
1415.432480675,36.61550272,37.20651365,37.19057309,37.23611814,37.28797055,37.53503274,37.23252729,37.55068498,37.15886554,37.18738839,37.39873209,37.18670768
1982.153753483,36.55935360,37.20625048,37.19057298,37.23611745,37.28797058,37.53503273,37.23252348,37.55068497,37.15886552,37.18738821,37.39873206,37.17598039
2775.563535413,36.50293942,37.20536326,37.19057249,37.23611429,37.28797061,37.53503271,37.23251852,37.55068495,37.15886523,37.18738791,37.39873202,37.16249850
3886.337230115,36.44628071,37.20301744,37.19057001,37.23609711,37.28797062,37.53503270,37.23251231,37.55068493,37.15886453,37.18738745,37.39873195,37.14598778
5441.420402698,36.38940695,37.19796630,37.19055614,37.23601325,37.28797047,37.53503269,37.23250456,37.55068489,37.15886336,37.18738677,37.39873185,37.12617150
7618.536844314,36.33234000,37.18879516,37.19048494,37.23568284,37.28796980,37.53503269,37.23249518,37.55068484,37.15886162,37.18738581,37.39873171,37.10290357
10666.49986258,36.27508203,37.17430827,37.19019067,37.23464836,37.28796758,37.53503272,37.23248394,37.55068475,37.15885915,37.18738447,37.39873151,37.07606737
14933.64808815,36.21763484,37.15381858,37.18923635,37.23203097,37.28796128,37.53503279,37.23247092,37.55068460,37.15885578,37.18738267,37.39873122,37.04560122
20907.65560394,36.15987650,37.12723424,37.18676731,37.22653009,37.28794475,37.53503293,37.23245602,37.55068432,37.15885094,37.18738032,37.39873080,37.01142287
29271.26612605,36.10153617,37.09487223,37.18151392,37.21661919,37.28790374,37.53503316,37.23243945,37.55068374,37.15884279,37.18737730,37.39873019,36.97341091
40980.32085701,36.04201704,37.05718043,37.17200809,37.20082552,37.28780523,37.53503346,37.23242049,37.55068253,37.15882416,37.18737301,37.39872927,36.93130246
57372.99748035,35.98010783,37.01432790,37.15690472,37.17789399,37.28756855,37.53503372,37.23238787,37.55067995,37.15875337,37.18736482,37.39872779,36.88454556
80322.74475303,35.91511857,36.96641431,37.13522105,37.14683858,37.28698004,37.53503353,37.23221475,37.55067447,37.15828237,37.18733169,37.39872532,36.83280981
112452.3909348,35.84575172,36.91310986,37.10652356,37.10681127,37.28548240,37.53503129,37.23165969,37.55066295,37.15720022,37.18720454,37.39872103,36.77544191
157433.8955892,35.77132201,36.85445355,37.07105509,37.05712539,37.28180861,37.53502195,37.23013927,37.55063885,37.15494615,37.18681584,37.39871342,36.71207870
220408.0021055,35.69207646,36.79110149,37.02991789,36.99745495,37.27366143,37.53499237,37.22681050,37.55058792,37.15075336,37.18582593,37.39869886,36.64325307
308571.7512282,35.60888452,36.72431930,36.98469718,36.92826632,37.25786948,37.53490660,37.22064300,37.55047988,37.14382283,37.18369203,37.39867009,36.57004213
432001.0000000,35.52340259,36.65583150,36.93709635,36.85121702,37.23117956,37.53466790,37.21090247,37.55024455,37.13359982,37.17979589,37.39860897,36.49346243
