time,HD__1_63_61,HD__1_48_76,HD__1_41_82,HD__1_86_51,HD__1_38_35,HD__1_118_33,HD__1_111_87,HD__1_40_14,HD__1_27_108,HD__1_7_52,HD__1_14_9,HD__2_63_61
1.000000000000,37.21788745,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253842,37.55068499,37.15886372,37.18738842,37.39873214,37.21906212
1.948280537101,37.21771490,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253842,37.55068499,37.15886372,37.18738842,37.39873214,37.21906068
3.275873289043,37.21716892,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253841,37.55068499,37.15886372,37.18738842,37.39873214,37.21905527
5.134503141762,37.21588948,37.20658395,37.19057313,37.23611899,37.28797047,37.53503278,37.23253839,37.55068499,37.15886373,37.18738843,37.39873214,37.21904182
7.736584935567,37.21327628,37.20658395,37.19057313,37.23611899,37.28797047,37.53503278,37.23253837,37.55068499,37.15886373,37.18738843,37.39873214,37.21901438
11.37949944690,37.20841150,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253835,37.55068499,37.15886374,37.18738843,37.39873214,37.21896449
16.47957976276,37.20003871,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253831,37.55068499,37.15886376,37.18738843,37.39873214,37.21887965
23.61969220496,37.18667679,37.20658395,37.19057313,37.23611897,37.28797047,37.53503278,37.23253826,37.55068499,37.15886378,37.18738844,37.39873214,37.21874315
33.61584962404,37.16692374,37.20658395,37.19057313,37.23611896,37.28797047,37.53503278,37.23253819,37.55068499,37.15886380,37.18738844,37.39873214,37.21853254
47.61047001076,37.13989448,37.20658395,37.19057313,37.23611895,37.28797047,37.53503278,37.23253809,37.55068499,37.15886384,37.18738845,37.39873214,37.21821953
67.20293855217,37.10557868,37.20658394,37.19057313,37.23611893,37.28797047,37.53503278,37.23253796,37.55068499,37.15886388,37.18738846,37.39873214,37.21777048
94.63239451014,37.06486852,37.20658393,37.19057313,37.23611891,37.28797048,37.53503278,37.23253777,37.55068499,37.15886394,37.18738847,37.39873214,37.21709296
133.0336328513,37.01920791,37.20658392,37.19057313,37.23611888,37.28797048,37.53503278,37.23253750,37.55068499,37.15886403,37.18738848,37.39873214,37.21613909
186.7953665289,36.97008328,37.20658391,37.19057313,37.23611884,37.28797049,37.53503277,37.23253714,37.55068499,37.15886413,37.18738850,37.39873213,37.21481045
262.0617936776,36.91867918,37.20658388,37.19057313,37.23611878,37.28797049,37.53503277,37.23253663,37.55068499,37.15886428,37.18738852,37.39873213,37.21296459
367.4347916857,36.86578482,37.20658384,37.19057313,37.23611872,37.28797050,37.53503276,37.23253594,37.55068499,37.15886446,37.18738854,37.39873212,37.21046459
514.9569888971,36.81187984,37.20658372,37.19057313,37.23611864,37.28797052,37.53503276,37.23253498,37.55068498,37.15886468,37.18738855,37.39873211,37.20705267
721.4880649930,36.75724920,37.20658324,37.19057313,37.23611854,37.28797054,37.53503275,37.23253365,37.55068498,37.15886494,37.18738855,37.39873210,37.20248383
1010.631571527,36.70207198,37.20657979,37.19057312,37.23611840,37.28797057,37.53503273,37.23253196,37.55068497,37.15886518,37.18738852,37.39873207,37.19655268
1415.432480675,36.64646310,37.20655655,37.19057308,37.23611816,37.28797061,37.53503272,37.23252967,37.55068495,37.15886537,37.18738845,37.39873202,37.18879009
1982.153753483,36.59050359,37.20643614,37.19057296,37.23611762,37.28797066,37.53503270,37.23252657,37.55068493,37.15886543,37.18738832,37.39873196,37.17892887
2775.563535413,36.53423689,37.20596693,37.19057253,37.23611595,37.28797070,37.53503269,37.23252216,37.55068490,37.15886528,37.18738809,37.39873187,37.16657779
3886.337230115,36.47770752,37.20455745,37.19057107,37.23610852,37.28797065,37.53503268,37.23251665,37.55068485,37.15886478,37.18738772,37.39873175,37.15170471
5441.420402698,36.42095606,37.20117379,37.19056484,37.23607172,37.28797027,37.53503269,37.23250964,37.55068479,37.15886386,37.18738717,37.39873157,37.13381215
7618.536844314,36.36398580,37.19445264,37.19053385,37.23591092,37.28796894,37.53503275,37.23250106,37.55068469,37.15886243,37.18738637,37.39873132,37.11269865
10666.49986258,36.30681434,37.18302899,37.19039322,37.23534309,37.28796508,37.53503286,37.23249071,37.55068453,37.15886035,37.18738524,37.39873096,37.08816152
14933.64808815,36.24945694,37.16590534,37.18987729,37.23373386,37.28795480,37.53503308,37.23247855,37.55068426,37.15885749,37.18738371,37.39873046,37.06004310
20907.65560394,36.19183538,37.14266440,37.18837464,37.22999683,37.28792842,37.53503342,37.23246449,37.55068376,37.15885351,37.18738167,37.39872974,37.02821094
29271.26612605,36.13370277,37.11340544,37.18482843,37.22267328,37.28786136,37.53503391,37.23244834,37.55068277,37.15884727,37.18737902,37.39872867,36.99246850
40980.32085701,36.07461115,37.07848726,37.17782867,37.21016529,37.28768720,37.53503454,37.23243081,37.55068068,37.15883569,37.18737551,37.39872706,36.95256760
57372.99748035,36.01353550,37.03822546,37.16588233,37.19097323,37.28721569,37.53503510,37.23240865,37.55067617,37.15880373,37.18736994,37.39872452,36.90795967
80322.74475303,35.94918987,36.99248954,37.14769821,37.16379682,37.28592978,37.53503473,37.23231810,37.55066626,37.15854140,37.18735266,37.39872029,36.85805964
112452.3909348,35.88050265,36.94109876,37.12240493,37.12752301,37.28263839,37.53503100,37.23202078,37.55064410,37.15786155,37.18728555,37.39871257,36.80225041
157433.8955892,35.80642104,36.88372646,37.08973797,37.08111311,37.27516466,37.53501418,37.23113407,37.55059466,37.15632684,37.18706132,37.39869815,36.74002720
220408.0021055,35.72665914,36.82067872,37.05030511,37.02386830,37.26045126,37.53495485,37.22890326,37.55048310,37.15326276,37.18643590,37.39866964,36.67134931
308571.7512282,35.64189690,36.75296561,37.00552498,36.95569777,37.23532124,37.53476849,37.22430990,37.55023011,37.14782326,37.18496156,37.39861028,36.59705099
432001.0000000,35.55343862,36.68223101,36.95712626,36.87770799,37.19751873,37.53421331,37.21634201,37.54965161,37.13920750,37.18199659,37.39848039,36.51905473
