time,HD__1_63_61,HD__1_48_76,HD__1_41_82,HD__1_86_51,HD__1_38_35,HD__1_118_33,HD__1_111_87,HD__1_40_14,HD__1_27_108,HD__1_7_52,HD__1_14_9,HD__2_63_61
1.000000000000,37.21788745,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253842,37.55068499,37.15886372,37.18738842,37.39873214,37.21906212
1.948280537101,37.21764539,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253841,37.55068499,37.15886372,37.18738842,37.39873214,37.21905437
3.275873289043,37.21688774,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253840,37.55068499,37.15886373,37.18738842,37.39873214,37.21903377
5.134503141762,37.21513756,37.20658395,37.19057313,37.23611899,37.28797047,37.53503278,37.23253838,37.55068499,37.15886373,37.18738843,37.39873214,37.21899464
7.736584935567,37.21162865,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253835,37.55068499,37.15886374,37.18738843,37.39873214,37.21892953
11.37949944690,37.20524730,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253831,37.55068499,37.15886376,37.18738843,37.39873214,37.21882872
16.47957976276,37.19457228,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253825,37.55068499,37.15886378,37.18738843,37.39873214,37.21865316
23.61969220496,37.17809068,37.20658395,37.19057313,37.23611897,37.28797047,37.53503278,37.23253818,37.55068499,37.15886381,37.18738844,37.39873214,37.21839731
33.61584962404,37.15459787,37.20658395,37.19057313,37.23611896,37.28797047,37.53503278,37.23253807,37.55068499,37.15886384,37.18738844,37.39873214,37.21801246
47.61047001076,37.12363634,37.20658394,37.19057313,37.23611894,37.28797047,37.53503278,37.23253792,37.55068499,37.15886389,37.18738845,37.39873214,37.21746365
67.20293855217,37.08570699,37.20658394,37.19057313,37.23611892,37.28797047,37.53503278,37.23253772,37.55068499,37.15886396,37.18738846,37.39873214,37.21668509
94.63239451014,37.04207909,37.20658393,37.19057313,37.23611889,37.28797047,37.53503278,37.23253743,37.55068499,37.15886405,37.18738848,37.39873214,37.21562493
133.0336328513,36.99429979,37.20658391,37.19057313,37.23611886,37.28797048,37.53503278,37.23253704,37.55068499,37.15886416,37.18738849,37.39873214,37.21415396
186.7953665289,36.94374291,37.20658387,37.19057313,37.23611881,37.28797048,37.53503278,37.23253650,37.55068499,37.15886430,37.18738851,37.39873214,37.21215096
262.0617936776,36.89138895,37.20658379,37.19057313,37.23611875,37.28797049,37.53503277,37.23253580,37.55068499,37.15886448,37.18738853,37.39873214,37.20948836
367.4347916857,36.83784822,37.20658361,37.19057313,37.23611866,37.28797050,37.53503277,37.23253480,37.55068499,37.15886470,37.18738854,37.39873213,37.20599856
514.9569888971,36.78348169,37.20658313,37.19057311,37.23611855,37.28797051,37.53503277,37.23253349,37.55068499,37.15886494,37.18738855,37.39873213,37.20147687
721.4880649930,36.72850592,37.20658129,37.19057308,37.23611837,37.28797052,37.53503276,37.23253172,37.55068498,37.15886516,37.18738853,37.39873212,37.19571500
1010.631571527,36.67305872,37.20657074,37.19057298,37.23611808,37.28797054,37.53503275,37.23252927,37.55068498,37.15886531,37.18738849,37.39873211,37.18845464
